Район,Адреса,Телефони,Сайт суду,Назва суду,email,Розклад,Тип суду,Місто,Сторінка суду,Область
,"83048, м. Донецьк, вул. Артема, 157",(050) 056-77-75,http://dna.arbitr.gov.ua,Донецький апеляційний господарський суд,inbox@dna.arbitr.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Апеляційний господарський суд,,http://dna.arbitr.gov.ua/sud5030/,Донецький
,04116 м.Київ вул. Шолуденка 1,(44) 230-06-58 (44) 230-06-59,http://kia.arbitr.gov.ua,Київський апеляційний господарський суд,inbox@kia.arbitr.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Апеляційний господарський суд,,http://kia.arbitr.gov.ua/sud5033/,Київський
,"79010 м. Львів, вул. Личаківська, 81",(032) 275-13-61,http://lva.arbitr.gov.ua,Львівський апеляційний господарський суд,inbox@lva.arbitr.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Апеляційний господарський суд,,http://lva.arbitr.gov.ua/sud5036/,Львівський
,"65119 м. Одеса, пр. Шевченка, 29","(0482)301-406, гаряча лінія (048)748-00-22",http://oda.arbitr.gov.ua,Одеський апеляційний господарський суд,inbox@oda.arbitr.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Апеляційний господарський суд,,http://oda.arbitr.gov.ua/sud5037/,Одеський
,"вул. Яворницького, 59, м.Рівне, 33001","Приймальна голови(0362)62-57-16,Канцелярія, Довідка про рух справ(0362)68-40-49Телефон гарячої лінії(0362)68-40-45",http://rva.arbitr.gov.ua,Рівненський апеляційний господарський суд,inbox@rva.arbitr.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Апеляційний господарський суд,,http://rva.arbitr.gov.ua/sud5040/,Рівненський
,,,,Севастопольський апеляційний господарський суд,,,Апеляційний господарський суд,,http://court.gov.ua/teh/775,Севастопольський
,"61058 м.Харків, пр. Правди, 13","Приймальня (057) 702-20-00, факс (057)703-94-11 Інформаційний центр (057) 702-20-21",http://hra.arbitr.gov.ua,Харківський апеляційний господарський суд України,inbox@hra.arbitr.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Апеляційний господарський суд,,http://hra.arbitr.gov.ua/sud5039/,Харківський
,"вул. Островського, 14, м. Вінниця, 21001","(0432) 55-15-10 (приймальна), тел./факс (0432) 55-15-15 (приймальна), тел./факс (0432) 55-15-20 (інформаційний сектор)",http://apladm.vn.court.gov.ua,Вінницький апеляційний адміністративний суд,inbox@apladm.vn.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 14:00,Апеляційний адміністративний суд,,http://apladm.vn.court.gov.ua/sud9108/,Вінницький
,"49083, м. Дніпропетровськ, пр. ім. Газети ""Правда"", 29, к. 504",Приймальня (056) 726-90-30 Телефон відділу з роботи по зверненню громадян (056) 726-90-42,http://apladm.dp.court.gov.ua,Дніпропетровський апеляційний адміністративний суд,inbox@apladm.dp.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Апеляційний адміністративний суд,,http://apladm.dp.court.gov.ua/sud9101/,Дніпропетровський
,"83017, м. Донецьк, бульвар Шевченка, 26","тел:(062) 332-19-00, факс (062)332-19-10",http://apladm.dn.court.gov.ua,Донецький апеляційний адміністративний суд,inbox@apladm.dn.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Апеляційний адміністративний суд,,http://apladm.dn.court.gov.ua/sud9102/,Донецький
,"10002 м. Житомир, майдан Путятинський, 3/65","Веб-сайт: zaas.gov.ua Канцелярія: (0412) 481604 Факс: (0412) 481637 Телефон довіри: 48-16-03 (пн,ср,пт 10-12 год.)",,Житомирський апеляційний адміністративний суд,inbox@apladm.zt.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Апеляційний адміністративний суд,,http://apladm.zt.court.gov.ua/sud9109/,Житомирський
,"Адреса: 01010, м. Київ, вул. Московська 8, корп. 30",тел/факс: (044) 254-21-99,http://apladm.ki.court.gov.ua,Київський апеляційний адміністративний суд,inbox@apladm.ki.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Апеляційний адміністративний суд,,http://apladm.ki.court.gov.ua/sud9103/,Київський
,"м.Львів, вул.Саксаганського 13, 79005","Приймальна голови суду - 032-236-75-15, 032-236-75-24, Канцелярія - 032-261-45-14, Громадська приймальна, довідки по справах - 032- 236-75-26",http://apladm.lv.court.gov.ua,Львівський апеляційний адміністративний суд,inbox@apladm.lv.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 17:00 Перерва з 13:00 до 14:00,Апеляційний адміністративний суд,,http://apladm.lv.court.gov.ua/sud9104/,Львівський
,"вул.Софіївська 19, м.Одеса, 65082,",ДЛЯ ДОВІДОКтел./факс(048) 705-96-40тел. (048) 705-96-48,http://apladm.od.court.gov.ua,Одеський апеляційний адміністративний суд,inbox@apladm.od.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 14:00,Апеляційний адміністративний суд,,http://apladm.od.court.gov.ua/sud9105/,Одеський
,,,,Севастопольський апеляційний адміністративний суд,,,Апеляційний адміністративний суд,,http://court.gov.ua/teh/784,Севастопольський
,"61064, м. Харків, вул.Володарського 46, корп 1",(057) 370-73-18,http://www.khaas.gov.ua,Харківський апеляційний адміністративний суд,inbox@apladm.hr.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Апеляційний адміністративний суд,,http://apladm.hr.court.gov.ua/sud9107/,Харківський
Вижницький,"59200, м. Вижниця, вул. Українська, 13",(03730) 2-11-59,http://vg.cv.court.gov.ua,Вижницький районний суд Чернівецької області,inbox@vg.cv.court.gov.ua,Пн-Чт з 08:30 до 17:00 Пт з 08:30 до 17:00 Перерва з 13:00 до 13:30,Районний суд,,http://vg.cv.court.gov.ua/sud2401/,Чернівецька
Герцаївський,"60500, м. Герца, вул. Центральна, 20",(03740) 2-15-17,http://gr.cv.court.gov.ua,Герцаївський районний суд Чернівецької області,inbox@gr.cv.court.gov.ua,Пн-Чт з 08:30 до 17:30 Пт з 08:30 до 17:30 Перерва з 13:00 до 14:00,Районний суд,,http://gr.cv.court.gov.ua/sud2402/,Чернівецька
Глибоцький,"60400, смт Глибока, вул. Глибоцька, 2 а",(03734) 2-14-52,http://gl.cv.court.gov.ua,Глибоцький районний суд Чернівецької області,inbox@gl.cv.court.gov.ua,Пн-Чт з 08:30 до 17:30 Пт з 08:30 до 16:40 Перерва з 13:00 до 13:50,Районний суд,,http://gl.cv.court.gov.ua/sud2403/,Чернівецька
Заставнівський,"59400, м. Заставна, вул. Незалежності, 95",(03737) 3-13-55,http://zs.cv.court.gov.ua,Заставнівський районний суд Чернівецької області,inbox@zs.cv.court.gov.ua,Пн-Чт з 08:30 до 17:15 Пт з 08:30 до 17:15 Перерва з 13:00 до 13:45,Районний суд,,http://zs.cv.court.gov.ua/sud2404/,Чернівецька
Кельменецький,"60100, смт Кельменці, вул. Сагайдачного, 39 а",(03732) 2-14-84,http://kl.cv.court.gov.ua,Кельменецький районний суд Чернівецької області,inbox@kl.cv.court.gov.ua,Пн-Чт з 08:00 до 17:15 Пт з 08:00 до 16:00 Перерва з 12:00 до 13:00,Районний суд,,http://kl.cv.court.gov.ua/sud2405/,Чернівецька
Кіцманський,"59300, м. Кіцмань, вул. Незалежності, 48","Канцелярія (03736) 2-16-05, факс - (03736) 2-17-57",http://km.cv.court.gov.ua,Кіцманський районний суд Чернівецької області,inbox@km.cv.court.gov.ua,Пн-Чт з 08:30 до 17:00 Пт з 08:30 до 17:00 Перерва з 13:00 до 13:30,Районний суд,,http://km.cv.court.gov.ua/sud2406/,Чернівецька
Новоселицький,"60300, м. Новоселиця, вул. 1 Травня, 4а",(03733) 2-19-34,http://nv.cv.court.gov.ua,Новоселицький районний суд Чернівецької області,inbox@nv.cv.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 13:00,Районний суд,,http://nv.cv.court.gov.ua/sud2407/,Чернівецька
Путильський,"59100, смт Путила, вул. Українська,86",(03738) 2-10-67,http://put.cv.court.gov.ua,Путильський районний суд Чернівецької області,inbox@put.cv.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 13:00,Районний суд,,http://put.cv.court.gov.ua/sud2409/,Чернівецька
Сокирянський,"60200, м. Сокиряни, вул. Шевченка, 7",(03739) 2-12-93,http://sk.cv.court.gov.ua,Сокирянський районний суд Чернівецької області,inbox@sk.cv.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Районний суд,,http://sk.cv.court.gov.ua/sud2411/,Чернівецька
Сторожинецький,"59000, м. Сторожинець, вул. Чернівецька, 6",(03735) 2-16-44,http://st.cv.court.gov.ua,Сторожинецький районний суд Чернівецької області,inbox@st.cv.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 17:00 Перерва з 13:00 до 14:00,Районний суд,,http://st.cv.court.gov.ua/sud2412/,Чернівецька
Хотинський,"60000, м. Хотин, вул. Незалежності, 25 а",(03731) 2-30-61 канцелярія суду,http://ht.cv.court.gov.ua,Хотинський районний суд Чернівецької області,inbox@ht.cv.court.gov.ua,Пн-Чт з 08:30 до 17:30 Пт з 08:30 до 16:15 Перерва з 12:30 до 13:15,Районний суд,,http://ht.cv.court.gov.ua/sud2413/,Чернівецька
Бахмацький,"16500, м.Бахмач, вул. Жовтнева, 42",(04635) 2-12-08,http://bh.cn.court.gov.ua,Бахмацький районний суд Чернігівської області,inbox@bh.cn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 13:00 до 13:45,Районний суд,,http://bh.cn.court.gov.ua/sud2501/,Чернігівська
Бобровицький,"17400, м. Бобровиця, вул. Незалежності, 47",(04632) 2-50-38,http://bb.cn.court.gov.ua,Бобровицький районний суд Чернігівської області,inbox@bb.cn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 13:00 до 13:45,Районний суд,,http://bb.cn.court.gov.ua/sud2502/,Чернігівська
Борзнянський,"16400, м. Борзна, вул. Незалежності, 4",0 (4653) 2-12-02,http://br.cn.court.gov.ua,Борзнянський районний суд Чернігівської області,inbox@br.cn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 13:00 до 13:45,Районний суд,,http://br.cn.court.gov.ua/sud2503/,Чернігівська
Варвинський,"17600, смт Варва, вул. Шевченка, 40",(04636) 2-13-15,http://vr.cn.court.gov.ua,Варвинський районний суд Чернігівської області,inbox@vr.cn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 13:00 до 14:00,Районний суд,,http://vr.cn.court.gov.ua/sud2504/,Чернігівська
Городнянський,"15100, м. Городня, вул. Радянська, 67",(04645) 2-16-93; 2-18-52,http://gd.cn.court.gov.ua,Городнянський районний суд Чернігівської області,inbox@gd.cn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 13:00 до 14:00,Районний суд,,http://gd.cn.court.gov.ua/sud2505/,Чернігівська
Ічнянський,"16700, м. Ічня, вул. Коваля, 10",(04633) 2-15-58,http://in.cn.court.gov.ua,Ічнянський районний суд Чернігівської області,inbox@in.cn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 13:00 до 14:00,Районний суд,,http://in.cn.court.gov.ua/sud2507/,Чернігівська
Козелецький,17000 смт. Козелець вул. Леніна 7,(04646) 2-14-88,http://kz.cn.court.gov.ua,Козелецький районний суд Чернігівської області,inbox@kz.cn.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 17:00 Перерва з 13:00 до 14:00,Районний суд,,http://kz.cn.court.gov.ua/sud2508/,Чернігівська
Коропський,"16200, смт Короп, вул. Кибальчича, 12","(046-56) 2-13-46, (046-56) 2-11-69, (046-56) 2-11-82",http://kp.cn.court.gov.ua,Коропський районний суд Чернігівської області,inbox@kp.cn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 13:00 до 13:48,Районний суд,,http://kp.cn.court.gov.ua/sud2509/,Чернігівська
Корюківський,"15300, Чернігівська обл., м. Корюківка, вул. Шевченка, 66.","(04657) 2-27-78, (04657) 2-29-54, (04657) 2-13-80",http://kr.cn.court.gov.ua,Корюківський районний суд Чернігівської області,inbox@kr.cn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 13:00 до 13:45,Районний суд,,http://kr.cn.court.gov.ua/sud2510/,Чернігівська
Куликівський,"16300, смт Куликівка, вул. Шевченка, 3",(04643) 2-15-81,http://kl.cn.court.gov.ua,Куликівський районний суд Чернігівської області,inbox@kl.cn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 13:00 до 13:45,Районний суд,,http://kl.cn.court.gov.ua/sud2511/,Чернігівська
Менський,"15600, м. Мена, вул. Леніна, 146-а",(04644) 2-14-73,http://mn.cn.court.gov.ua,Менський районний суд Чернігівської області,inbox@mn.cn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 13:00 до 13:45,Районний суд,,http://mn.cn.court.gov.ua/sud2512/,Чернігівська
Новгород-Сіверський,"16000, м. Новгород-Сіверський, вул. Базилевича, 10а",(04658) 3-15-06,http://ns.cn.court.gov.ua,Новгород-Сіверський районний суд Чернігівської області,inbox@ns.cn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 13:00 до 13:45,Районний суд,,http://ns.cn.court.gov.ua/sud2513/,Чернігівська
Носівський,"17100, м. Носівка,, вул. Суворова, 28",(04642) 2-18-85,http://no.cn.court.gov.ua,Носівський районний суд Чернігівської області,inbox@no.cn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 13:00 до 13:48,Районний суд,,http://no.cn.court.gov.ua/sud2516/,Чернігівська
Ріпкинський,"15000, смт Ріпки, вул. Святомиколаївська, 94",(04641) 2-27-49,http://rp.cn.court.gov.ua,Ріпкинський районний суд Чернігівської області,inbox@rp.cn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 13:00 до 13:45,Районний суд,,http://rp.cn.court.gov.ua/sud2518/,Чернігівська
Семенівський,"15400, Чернігівська обл., м.Семенівка, вул. Центральна, 6",(4659) 2-11-53,http://sm.cn.court.gov.ua,Семенівський районний суд Чернігівської області,inbox@sm.cn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 13:00 до 13:48,Районний суд,,http://sm.cn.court.gov.ua/sud2519/,Чернігівська
Сосницький,"16100, смт. Сосниця, вул. Чернігівська, 54","(04655) 2-02-24 , 2-14-34",http://sn.cn.court.gov.ua,Сосницький районний суд Чернігівської області,inbox@sn.cn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 13:00 до 13:45,Районний суд,,http://sn.cn.court.gov.ua/sud2520/,Чернігівська
Срібнянський,"17300, смт Срібне, вул.Леніна, 41а",(04639) 2-15-98,http://sr.cn.court.gov.ua,Срібнянський районний суд Чернігівської області,inbox@sr.cn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 13:00 до 13:45,Районний суд,,http://sr.cn.court.gov.ua/sud2521/,Чернігівська
Талалаївський,"17200, смт Талалаївка, вул. Леніна, 38",Код:04634Голова суду:2-15-42Керівник апарату:2-12-44Факс:2-12-44skype:talalaivkasudcg,http://tl.cn.court.gov.ua,Талалаївський районний суд Чернігівської області,inbox@tl.cn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 13:00 до 13:45,Районний суд,,http://tl.cn.court.gov.ua/sud2522/,Чернігівська
Чернігівський,"14000, м. Чернігів, вул. Воровського, 4",(0462) 699 - 590,http://cn.cn.court.gov.ua,Чернігівський районний суд Чернігівської області,inbox@cn.cn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 13:00 до 13:48,Районний суд,,http://cn.cn.court.gov.ua/sud2523/,Чернігівська
Щорський,"15200, м. Щорс, вул. 30 років Перемоги, 37-б","(04654) 2-29-54, факс: (04654) 2-19-99",http://sh.cn.court.gov.ua,Щорський районний суд Чернігівської області,inbox@sh.cn.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 13:00 до 13:45,Районний суд,,http://sh.cn.court.gov.ua/sud2524/,Чернігівська
Балаклійський,"64200, м. Балаклія, вул.Леніна, 87",(05749) 5-12-06,http://bll.hr.court.gov.ua,Балаклійський районний суд Харківської області,inbox@bll.hr.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Районний суд,,http://bll.hr.court.gov.ua/sud2001/,Харківська
Барвінківський,"64701 Харківська область, Барвінківський район, м. Барвінково, вул. Богдана Хмельницького, 6",(05757) 4-23-58,http://brv.hr.court.gov.ua,Барвінківський районний суд Харківської області,inbox@brv.hr.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 12:45,Районний суд,,http://brv.hr.court.gov.ua/sud2002/,Харківська
Близнюківський,"64800, смт. Близнюки, вул. Радянська 46-а",(254) 5-17-11,http://blk.hr.court.gov.ua,Близнюківський районний суд Харківської області,inbox@blk.hr.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 12:45,Районний суд,,http://blk.hr.court.gov.ua/sud2003/,Харківська
Богодухівський,"62103, м. Богодухів, майдан Кірова, 17",05758 3-20-64,http://bg.hr.court.gov.ua,Богодухівський районний суд Харківської області,inbox@bg.hr.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 13:00,Районний суд,,http://bg.hr.court.gov.ua/sud2004/,Харківська
Борівський,"63801, смт. Борова, вул. Миру, 11","(05759)6-13-58, 6-68-95, 6-19-32",http://br.hr.court.gov.ua,Борівський районний суд Харківської області,inbox@br.hr.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Районний суд,,http://br.hr.court.gov.ua/sud2005/,Харківська
Валківський,"63002, м. Валки, вул. Дідоренко, 44",(05753) 5-13-33,http://vl.hr.court.gov.ua,Валківський районний суд Харківської області,inbox@vl.hr.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 13:00 до 13:45,Районний суд,,http://vl.hr.court.gov.ua/sud2006/,Харківська
Великобурлуцький,"62602, c.м.т. Великий Бурлук, вул. Леніна, 9",(05752) 5-41-34,http://vb.hr.court.gov.ua,Великобурлуцький районний суд Харківської області,inbox@vb.hr.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 12:45,Районний суд,,http://vb.hr.court.gov.ua/sud2007/,Харківська
Вовчанський,"62504, м. Вовчанськ, вул.Кірова, 2",(05741) 4-24-44; 4-26-17,http://vv.hr.court.gov.ua,Вовчанський районний суд Харківської області,inbox@vv.hr.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 12:45,Районний суд,,http://vv.hr.court.gov.ua/sud2008/,Харківська
Дворічанський,"62700, м. Дворічна, вул. Осеніна, 1",(05750) 7-60-52,http://dv.hr.court.gov.ua,Дворічанський районний суд Харківської області,inbox@dv.hr.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 12:45,Районний суд,,http://dv.hr.court.gov.ua/sud2009/,Харківська
Дергачівський,"62300, м. Дергачі, вул. Першого Травня, 63",(263) 3-02-62,http://dr.hr.court.gov.ua,Дергачівський районний суд Харківської області,inbox@dr.hr.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 13:00 до 13:45,Районний суд,,http://dr.hr.court.gov.ua/sud2010/,Харківська
Зачепилівський,"64400, Харківська обл., смт. Зачепилівка, вул. Свердлова, 7",(05761) 5-18-64,http://zc.hr.court.gov.ua,Зачепилівський районний суд Харківської області,inbox@zc.hr.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 12:45,Районний суд,,http://zc.hr.court.gov.ua/sud2013/,Харківська
Зміївський,"63404, м. Зміїв, вул. Леніна, 6",(05747) 3-32-19,http://zm.hr.court.gov.ua,Зміївський районний суд Харківської області,inbox@zm.hr.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 13:00,Районний суд,,http://zm.hr.court.gov.ua/sud2014/,Харківська
Золочівський,"62203, смт Золочів, вул. Комсомольська, 13",Канцелярія (05764) 5-01-93,http://zl.hr.court.gov.ua,Золочівський районний суд Харківської області,inbox@zl.hr.court.gov.ua,Пн-Чт з 08:30 до 17:30 Пт з 08:30 до 16:15 Перерва з 13:00 до 13:45,Районний суд,,http://zl.hr.court.gov.ua/sud2015/,Харківська
Кегичівський,"64003, смт. Кегичівка, вул, Миру, 26","(05755) 3-22-62, 3-17-77 (факс)",http://kg.hr.court.gov.ua,Кегичівський районний суд Харківської області,inbox@kg.hr.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Районний суд,,http://kg.hr.court.gov.ua/sud2017/,Харківська
Коломацький,"63110, с. Різуненкове, вул. Центральна, 56","(05766) 57-2-04, 57-2-06, 57-2-07",http://kl.hr.court.gov.ua,Коломацький районний суд Харківської області,inbox@kl.hr.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 12:45,Районний суд,,http://kl.hr.court.gov.ua/sud2019/,Харківська
Красноградський,"63300, м. Красноград, вул. Харківська, 127","(05744) 7-07-04,",http://kr.hr.court.gov.ua,Красноградський районний суд Харківської області,inbox@kr.hr.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Районний суд,,http://kr.hr.court.gov.ua/sud2021/,Харківська
Краснокутський,"62002, cмт. Краснокутськ, вул. Карла Маркса, 15",(05756) 3-11-64,http://kk.hr.court.gov.ua,Краснокутський районний суд Харківської області,inbox@kk.hr.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 12:45,Районний суд,,http://kk.hr.court.gov.ua/sud2022/,Харківська
Нововодолазький,"63200, м. Нова Водолага, вул. 40 років Перемоги, 1","(05740) 4-22-55, (05740) 4-58-40, факс (05740) 4-57-70, (05740) 4-21-45",http://nv.hr.court.gov.ua,Нововодолазький районний суд Харківської області,inbox@nv.hr.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 17:00 Перерва з 13:00 до 14:00,Районний суд,,http://nv.hr.court.gov.ua/sud2028/,Харківська
Печенізький,"62801, смт Печеніги, вул.Леніна, 48а",(05765) 6-10-30,http://pc.hr.court.gov.ua,Печенізький районний суд Харківської області,inbox@pc.hr.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 13:00,Районний суд,,http://pc.hr.court.gov.ua/sud2031/,Харківська
Сахновщинський,"64501, смт. Сахновщина, вул. Шмідта, 8",(05762) 3-19-79,http://sv.hr.court.gov.ua,Сахновщинський районний суд Харківської області,inbox@sv.hr.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 12:45,Районний суд,,http://sv.hr.court.gov.ua/sud2032/,Харківська
Харківський,"62458, Харківська область, селище Покотилівка, вул. Калініна, 18",(057) 745-66-96 Кримінальна канцелярія Адміністративна канцелярія (057) 745-62-30 Цивільна канцелярія (057) 745-66-98 Старший секретар суду (057) 745-67-06 Архівний підрозділ,http://hr.hr.court.gov.ua,Харківський районний суд Харківської області,inbox@hr.hr.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 13:00 до 13:45,Районний суд,,http://hr.hr.court.gov.ua/sud2034/,Харківська
Шевченківський,"63600, смт Шевченково, вул. Леніна, 9 а",(05751) 5-15-51,http://sh.hr.court.gov.ua,Шевченківський районний суд Харківської області,inbox@sh.hr.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 17:00 Перерва з 12:00 до 13:00,Районний суд,,http://sh.hr.court.gov.ua/sud2037/,Харківська
Бериславський,"74300, м. Берислав, вул. Леніна, 249",(05546) 7-37-57,http://bs.ks.court.gov.ua,Бериславський районний суд Херсонської області,inbox@bs.ks.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 12:45,Районний суд,,http://bs.ks.court.gov.ua/sud2101/,Херсонська
Білозерський,"75000, смт Білозерка, вул. Р.Вдовиченка,97",(05547) 3-39-00,http://bz.ks.court.gov.ua,Білозерський районний суд Херсонської області,inbox@bz.ks.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 12:48,Районний суд,,http://bz.ks.court.gov.ua/sud2102/,Херсонська
Великолепетиський,"74502, смт Велика Лепетиха, вул. Чкалова, 7 а",0 (5543) 2-15-60,http://vpt.ks.court.gov.ua,Великолепетиський районний суд Херсонської області,inbox@vpt.ks.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 12:48,Районний суд,,http://vpt.ks.court.gov.ua/sud2103/,Херсонська
Великоолександрівський,"74100, смт Велика Олександрівка, вул. Ярмаркова, 11",(05532) 2-12-58,http://vo.ks.court.gov.ua,Великоолександрівський районний суд Херсонської області,inbox@vo.ks.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 12:48,Районний суд,,http://vo.ks.court.gov.ua/sud2104/,Херсонська
Верхньорогачицький,"74400, смт Верхній Рогачик, вул. Леніна, 60",(05545)5-15-60 (05545)5-25-37,http://vr.ks.court.gov.ua,Верхньорогачицький районний суд Херсонської області,inbox@vr.ks.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 12:45,Районний суд,,http://vr.ks.court.gov.ua/sud2105/,Херсонська
Високопільський,"74000, смт Високопілля, вул. Червоноармійська,104","(05535) 2-11-70, факс (05535) 2-15-77",http://vps.ks.court.gov.ua,Високопільський районний суд Херсонської області,inbox@vps.ks.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 12:45,Районний суд,,http://vps.ks.court.gov.ua/sud2106/,Херсонська
